date,home_team,away_team,home_goals,away_goals,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,referee,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_possession,away_possession
2023-11-05,Panetolikos,Asteras Tripolis,0,1,4.0,3.0,11.0,1.0,8.0,3.0,6.0,5.0,0.0,1.0,3.0,3.1,2.55,3.05,2.97,2.64,,Super League,,20231105_Panetolikos_Asteras-Tripolis,-11.109439342240648,1.13,0.53,52.6,47.4
2023-11-06,Panserraikos,OFI Crete,2,1,4.0,3.0,5.0,12.0,4.0,4.0,3.0,4.0,0.0,0.0,2.7,3.3,2.63,2.52,3.11,3.08,,Super League,,20231106_Panserraikos_OFI-Crete,-19.781269497495032,1.0,0.39,53.5,46.5
2023-11-11,Atromitos,Panserraikos,1,1,3.0,2.0,9.0,5.0,5.0,1.0,4.0,4.0,0.0,0.0,1.95,3.5,4.0,1.84,3.38,4.78,,Super League,,20231111_Atromitos_Panserraikos,-27.728114927843308,0.86,1.21,58.2,41.8
2023-11-11,OFI Crete,Giannina,1,1,5.0,7.0,8.0,11.0,2.0,4.0,2.0,2.0,0.0,0.0,1.7,3.6,5.5,1.63,3.7,5.98,,Super League,,20231111_OFI-Crete_Giannina,51.17678895995937,0.57,0.51,50.3,49.7
2023-11-11,Volos NFC,Aris,0,2,5.0,3.0,9.0,4.0,5.0,7.0,4.0,2.0,0.0,0.0,4.75,3.6,1.8,3.44,3.33,2.21,,Super League,,20231111_Volos-NFC_Aris,-44.546228919752366,0.28,1.43,52.6,47.4
2023-11-12,AEK,Lamia,3,0,5.0,1.0,7.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,1.2,6.5,15.0,1.12,9.55,20.9,,Super League,,20231112_AEK_Lamia,41.1740512208637,2.11,0.48,52.9,47.1
2023-11-12,Asteras Tripolis,Olympiakos,0,2,2.0,4.0,3.0,9.0,2.0,5.0,3.0,0.0,0.0,0.0,7.0,4.33,1.45,7.93,4.33,1.44,,Super League,,20231112_Asteras-Tripolis_Olympiakos,-71.39230270432154,0.63,0.48,51.5,48.5
2023-11-12,Kifisia,Panathinaikos,0,1,2.0,6.0,2.0,8.0,0.0,9.0,1.0,3.0,0.0,0.0,12.0,6.0,1.25,8.9,5.21,1.34,,Super League,,20231112_Kifisia_Panathinaikos,-105.93044257924703,1.37,1.49,41.3,58.7
2023-11-12,PAOK,Panetolikos,2,1,2.0,2.0,7.0,6.0,4.0,1.0,2.0,3.0,0.0,0.0,1.2,6.5,17.0,1.16,7.72,16.55,,Super League,,20231112_PAOK_Panetolikos,98.217261428352,1.3,0.19,58.1,41.9
2023-11-24,OFI Crete,Volos NFC,1,1,6.0,3.0,10.0,7.0,6.0,2.0,3.0,5.0,0.0,1.0,1.73,3.8,4.5,1.74,3.71,4.93,,Super League,,20231124_OFI-Crete_Volos-NFC,50.01466831015841,1.23,0.9,54.4,45.6
2023-11-25,Olympiakos,Panetolikos,3,1,4.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,1.13,8.0,19.0,1.13,8.82,18.14,,Super League,,20231125_Olympiakos_Panetolikos,123.99817939862965,0.76,0.68,55.9,44.1
2023-11-25,PAOK,Panserraikos,5,0,11.0,2.0,5.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,1.22,6.0,13.0,1.27,5.85,10.62,,Super League,,20231125_PAOK_Panserraikos,49.16651772069554,1.53,0.18,58.2,41.8
2023-11-26,Aris,Panathinaikos,2,0,4.0,8.0,4.0,6.0,1.0,9.0,3.0,1.0,0.0,0.0,3.5,3.3,2.1,3.71,3.08,2.22,,Super League,,20231126_Aris_Panathinaikos,-74.23751494055273,1.45,0.58,49.4,50.6
2023-11-26,Giannina,AEK,0,1,4.0,7.0,4.0,13.0,3.0,6.0,3.0,1.0,0.0,0.0,9.0,5.0,1.33,9.25,5.36,1.32,,Super League,,20231126_Giannina_AEK,-114.80147198747272,1.22,1.13,48.8,51.2
2023-11-26,Kifisia,Asteras Tripolis,1,3,6.0,4.0,11.0,1.0,7.0,2.0,2.0,2.0,0.0,0.0,2.45,3.2,2.9,3.03,2.84,2.77,,Super League,,20231126_Kifisia_Asteras-Tripolis,-6.533855524869068,0.22,1.35,44.0,56.0
2023-11-26,Lamia,Atromitos,3,3,7.0,6.0,5.0,5.0,3.0,8.0,4.0,3.0,0.0,0.0,2.3,3.3,3.1,2.37,2.98,3.5,,Super League,,20231126_Lamia_Atromitos,24.225254210800358,0.87,2.46,53.5,46.5
2023-11-29,Volos NFC,Panserraikos,1,0,5.0,4.0,6.0,7.0,3.0,5.0,2.0,4.0,0.0,0.0,2.4,3.4,2.9,2.3,3.27,3.3,,Super League,,20231129_Volos-NFC_Panserraikos,-44.36890356241656,1.02,1.13,50.4,49.6
2023-12-02,Asteras Tripolis,Panserraikos,1,0,2.0,4.0,7.0,12.0,5.0,3.0,4.0,4.0,0.0,0.0,1.95,3.25,4.2,2.04,3.13,4.24,,Super League,,20231202_Asteras-Tripolis_Panserraikos,2.6395758906758147,0.68,0.45,53.5,46.5
2023-12-02,Panetolikos,Kifisia,3,0,7.0,4.0,7.0,4.0,5.0,6.0,2.0,5.0,0.0,0.0,2.2,3.25,3.5,2.01,3.35,4.02,,Super League,,20231202_Panetolikos_Kifisia,-23.051295787466415,1.18,1.58,47.1,52.9
2023-12-03,Atromitos,Giannina,1,1,4.0,3.0,8.0,6.0,2.0,2.0,4.0,2.0,0.0,0.0,2.2,3.25,3.4,1.95,3.33,4.27,,Super League,,20231203_Atromitos_Giannina,37.24165264523481,1.53,0.86,48.5,51.5
2023-12-03,Panathinaikos,OFI Crete,4,0,9.0,3.0,7.0,2.0,2.0,3.0,1.0,6.0,0.0,0.0,1.25,6.0,11.0,1.24,6.0,12.0,,Super League,,20231203_Panathinaikos_OFI-Crete,76.89854283939394,0.95,1.17,53.6,46.4
2023-12-03,Volos NFC,Olympiakos,2,2,4.0,3.0,6.0,8.0,2.0,6.0,7.0,3.0,1.0,1.0,15.0,6.5,1.2,9.87,5.25,1.32,,Super League,,20231203_Volos-NFC_Olympiakos,-106.60501805191802,0.71,1.61,51.0,49.0
2023-12-04,AEK,Aris,1,0,4.0,1.0,13.0,6.0,9.0,2.0,1.0,1.0,0.0,0.0,1.4,4.5,8.5,1.28,5.5,11.34,,Super League,,20231204_AEK_Aris,45.310751086444725,0.05,0.05,45.6,54.4
2023-12-04,PAOK,Lamia,3,0,8.0,6.0,9.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,1.22,5.5,17.0,1.24,5.96,11.57,,Super League,,20231204_PAOK_Lamia,61.90649586559607,1.84,1.14,50.5,49.5
2023-12-16,Kifisia,Giannina,4,2,10.0,5.0,2.0,4.0,3.0,7.0,3.0,5.0,0.0,1.0,2.38,3.1,3.25,2.34,3.09,3.41,,Super League,,20231216_Kifisia_Giannina,-3.1335539022397825,1.58,2.04,49.6,50.4
2023-12-17,Aris,OFI Crete,1,0,7.0,1.0,10.0,5.0,6.0,5.0,1.0,1.0,0.0,0.0,1.62,4.0,5.5,1.81,3.71,4.41,,Super League,,20231217_Aris_OFI-Crete,30.655250303761022,0.46,0.72,53.3,46.7
2023-12-17,Asteras Tripolis,PAOK,1,4,3.0,8.0,7.0,5.0,7.0,4.0,2.0,1.0,0.0,0.0,5.5,4.0,1.62,5.59,3.57,1.69,,Super League,,20231217_Asteras-Tripolis_PAOK,-78.652636908143,0.67,1.73,43.9,56.1
2023-12-17,Atromitos,Panathinaikos,3,2,4.0,4.0,5.0,8.0,1.0,7.0,3.0,2.0,0.0,0.0,6.5,4.0,1.53,7.86,4.24,1.45,,Super League,,20231217_Atromitos_Panathinaikos,-104.44934734760909,0.93,0.78,49.6,50.4
2023-12-17,Lamia,Volos NFC,1,2,4.0,4.0,6.0,4.0,6.0,2.0,3.0,4.0,0.0,0.0,1.85,3.6,4.2,2.17,3.17,3.72,,Super League,,20231217_Lamia_Volos-NFC,25.27612446398234,0.62,0.66,51.3,48.7
2023-12-18,Panetolikos,AEK,2,2,3.0,7.0,3.0,12.0,2.0,9.0,4.0,1.0,0.0,0.0,9.0,5.5,1.3,9.72,5.38,1.31,,Super League,,20231218_Panetolikos_AEK,-140.90511731546871,1.89,1.51,47.3,52.7
