date,home_team,away_team,team,scorer,minute,own_goal,penalty,MATCH_ID
2018-09-06,WAL,IRL,IRL,Shaun Williams,66.0,False,False,20180906_WAL_IRL
2018-09-07,ALB,ISR,ALB,Taulant Xhaka,55.0,False,False,20180907_ALB_ISR
2018-09-07,FRO,MLT,FRO,Jóan Símun Edmundsson,31.0,False,False,20180907_FRO_MLT
2018-09-07,FRO,MLT,FRO,René Joensen,38.0,False,False,20180907_FRO_MLT
2018-09-07,FRO,MLT,MLT,Michael Mifsud,42.0,False,False,20180907_FRO_MLT
2018-09-07,FRO,MLT,FRO,Hallur Hansson,52.0,False,False,20180907_FRO_MLT
2018-09-07,ITA,POL,POL,Piotr Zieliński,40.0,False,False,20180907_ITA_POL
2018-09-07,ITA,POL,ITA,Jorginho,78.0,False,True,20180907_ITA_POL
2018-09-07,LTU,SRB,SRB,Dušan Tadić,38.0,False,True,20180907_LTU_SRB
2018-09-07,TUR,RUS,RUS,Denis Cheryshev,13.0,False,False,20180907_TUR_RUS
2018-09-07,TUR,RUS,TUR,Serdar Aziz,41.0,False,False,20180907_TUR_RUS
2018-09-07,TUR,RUS,RUS,Artem Dzyuba,49.0,False,False,20180907_TUR_RUS
2018-09-08,BLR,SMR,BLR,Ihar Stasevich,4.0,False,False,20180908_BLR_SMR
2018-09-08,BLR,SMR,BLR,Stanislaw Drahun,26.0,False,False,20180908_BLR_SMR
2018-09-08,BLR,SMR,BLR,Anton Saroka,67.0,False,True,20180908_BLR_SMR
2018-09-08,BLR,SMR,BLR,Stanislaw Drahun,87.0,False,False,20180908_BLR_SMR
2018-09-08,BLR,SMR,BLR,Yury Kavalyow,90.0,False,False,20180908_BLR_SMR
2018-09-08,ENG,ESP,ENG,Marcus Rashford,11.0,False,False,20180908_ENG_ESP
2018-09-08,ENG,ESP,ESP,Saúl Ñíguez,13.0,False,False,20180908_ENG_ESP
2018-09-08,ENG,ESP,ESP,Rodrigo,32.0,False,False,20180908_ENG_ESP
2018-09-08,EST,GRE,GRE,Kostas Fortounis,14.0,False,False,20180908_EST_GRE
2018-09-08,FIN,HUN,FIN,Teemu Pukki,7.0,False,False,20180908_FIN_HUN
2018-09-08,LUX,MDA,LUX,Kevin Malget,34.0,False,False,20180908_LUX_MDA
2018-09-08,LUX,MDA,LUX,Olivier Thill,60.0,False,False,20180908_LUX_MDA
2018-09-08,LUX,MDA,LUX,Danel Sinani,75.0,False,False,20180908_LUX_MDA
2018-09-08,LUX,MDA,LUX,Christopher Martins,83.0,False,False,20180908_LUX_MDA
2018-09-08,NIR,BIH,BIH,Haris Duljević,36.0,False,False,20180908_NIR_BIH
2018-09-08,NIR,BIH,BIH,Elvis Sarić,64.0,False,False,20180908_NIR_BIH
2018-09-08,NIR,BIH,NIR,Will Grigg,90.0,False,False,20180908_NIR_BIH
2018-09-08,SUI,ISL,SUI,Steven Zuber,13.0,False,False,20180908_SUI_ISL
2018-09-08,SUI,ISL,SUI,Denis Zakaria,23.0,False,False,20180908_SUI_ISL
